,label,charge
http://dl-learner.org/carcinogenesis#d100_1,2.0,-0.105
http://dl-learner.org/carcinogenesis#d100_10,2.0,0.156
http://dl-learner.org/carcinogenesis#d100_11,2.0,-0.105
http://dl-learner.org/carcinogenesis#d100_12,2.0,-0.105
http://dl-learner.org/carcinogenesis#d100_13,2.0,-0.105
http://dl-learner.org/carcinogenesis#d100_14,2.0,-0.105
http://dl-learner.org/carcinogenesis#d100_15,2.0,-0.105
http://dl-learner.org/carcinogenesis#d100_16,2.0,0.125
http://dl-learner.org/carcinogenesis#d100_17,2.0,0.156
http://dl-learner.org/carcinogenesis#d100_18,2.0,0.156
http://dl-learner.org/carcinogenesis#d100_19,2.0,0.155
http://dl-learner.org/carcinogenesis#d100_2,2.0,-0.105
http://dl-learner.org/carcinogenesis#d100_20,2.0,0.155
http://dl-learner.org/carcinogenesis#d100_21,2.0,-0.174
http://dl-learner.org/carcinogenesis#d100_22,2.0,0.426
http://dl-learner.org/carcinogenesis#d100_23,2.0,-0.174
http://dl-learner.org/carcinogenesis#d100_24,2.0,-0.174
http://dl-learner.org/carcinogenesis#d100_25,2.0,-0.174
http://dl-learner.org/carcinogenesis#d100_26,2.0,-0.174
http://dl-learner.org/carcinogenesis#d100_3,2.0,-0.105
http://dl-learner.org/carcinogenesis#d100_4,2.0,0.125
http://dl-learner.org/carcinogenesis#d100_5,2.0,-0.105
http://dl-learner.org/carcinogenesis#d100_6,2.0,-0.105
http://dl-learner.org/carcinogenesis#d100_7,2.0,0.156
http://dl-learner.org/carcinogenesis#d100_8,2.0,0.155
http://dl-learner.org/carcinogenesis#d100_9,2.0,0.155
http://dl-learner.org/carcinogenesis#d101_1,2.0,0.177
http://dl-learner.org/carcinogenesis#d101_10,2.0,0.127
http://dl-learner.org/carcinogenesis#d101_11,2.0,0.046
http://dl-learner.org/carcinogenesis#d101_12,2.0,0.177
http://dl-learner.org/carcinogenesis#d101_13,2.0,0.177
http://dl-learner.org/carcinogenesis#d101_14,2.0,0.477
http://dl-learner.org/carcinogenesis#d101_15,2.0,-0.124
http://dl-learner.org/carcinogenesis#d101_16,2.0,-0.124
http://dl-learner.org/carcinogenesis#d101_17,2.0,-0.124
http://dl-learner.org/carcinogenesis#d101_18,2.0,0.127
http://dl-learner.org/carcinogenesis#d101_19,2.0,-0.124
http://dl-learner.org/carcinogenesis#d101_2,2.0,-0.024
http://dl-learner.org/carcinogenesis#d101_20,2.0,-0.124
http://dl-learner.org/carcinogenesis#d101_21,2.0,-0.124
http://dl-learner.org/carcinogenesis#d101_22,2.0,-0.123
http://dl-learner.org/carcinogenesis#d101_3,2.0,-0.124
http://dl-learner.org/carcinogenesis#d101_4,2.0,-0.124
http://dl-learner.org/carcinogenesis#d101_5,2.0,-0.024
http://dl-learner.org/carcinogenesis#d101_6,2.0,-0.074
http://dl-learner.org/carcinogenesis#d101_7,2.0,0.177
http://dl-learner.org/carcinogenesis#d101_8,2.0,-0.124
http://dl-learner.org/carcinogenesis#d101_9,2.0,-0.124
http://dl-learner.org/carcinogenesis#d102_1,2.0,0.507
http://dl-learner.org/carcinogenesis#d102_2,2.0,0.407
http://dl-learner.org/carcinogenesis#d102_3,2.0,-0.194
http://dl-learner.org/carcinogenesis#d102_4,2.0,-0.194
http://dl-learner.org/carcinogenesis#d102_5,2.0,-0.194
http://dl-learner.org/carcinogenesis#d102_6,2.0,-0.194
