,DSSTox_CID,DSSTox_Generic_SID,DSSTox_RID,LOG_ER_RBA,STRUCTURE_MolecularWeight
http://dl-learner.org/nctrer/1,2308.0,22308.0,22308.0,-0.36,270.2369
http://dl-learner.org/nctrer/10,2317.0,22317.0,22317.0,-2.35,286.2404
http://dl-learner.org/nctrer/100,1125.0,21125.0,22407.0,-1.87,318.3282
http://dl-learner.org/nctrer/101,2408.0,22408.0,22408.0,-3.25,354.3765
http://dl-learner.org/nctrer/102,2409.0,22409.0,22409.0,-3.07,250.2686
http://dl-learner.org/nctrer/103,2265.0,22265.0,22410.0,-10000.0,269.7671
http://dl-learner.org/nctrer/104,2411.0,22411.0,22411.0,-10000.0,424.6585
http://dl-learner.org/nctrer/105,2412.0,22412.0,22412.0,-10000.0,210.278
http://dl-learner.org/nctrer/106,2413.0,22413.0,22413.0,-10000.0,164.2011
http://dl-learner.org/nctrer/107,1644.0,21644.0,22414.0,-10000.0,174.1944
http://dl-learner.org/nctrer/108,2415.0,22415.0,22415.0,-10000.0,156.2237
http://dl-learner.org/nctrer/109,2416.0,22416.0,22416.0,-10000.0,146.2273
http://dl-learner.org/nctrer/11,2318.0,22318.0,22318.0,-10000.0,224.2546
http://dl-learner.org/nctrer/110,2417.0,22417.0,22417.0,-10000.0,193.2423
http://dl-learner.org/nctrer/111,1969.0,21969.0,22418.0,-10000.0,152.1473
http://dl-learner.org/nctrer/112,2419.0,22419.0,22419.0,-10000.0,360.444
http://dl-learner.org/nctrer/113,2420.0,22420.0,22420.0,-10000.0,153.1784
http://dl-learner.org/nctrer/114,2421.0,22421.0,22421.0,-10000.0,232.2783
http://dl-learner.org/nctrer/115,2422.0,22422.0,22422.0,-10000.0,198.2637
http://dl-learner.org/nctrer/116,1544.0,21544.0,22423.0,-10000.0,128.5563
http://dl-learner.org/nctrer/117,453.0,20453.0,22424.0,-10000.0,380.9093
http://dl-learner.org/nctrer/118,2425.0,22425.0,22425.0,-2.46,214.2167
http://dl-learner.org/nctrer/119,442.0,20442.0,22426.0,-10000.0,221.0374
http://dl-learner.org/nctrer/12,2319.0,22319.0,22319.0,-10000.0,302.283
