,label,act,logp,lumo,charge
http://dl-learner.org/mutagenesis#d1,2.0,2.11,4.23,-1.246,
http://dl-learner.org/mutagenesis#d10,2.0,2.36,4.62,-1.387,
http://dl-learner.org/mutagenesis#d100,2.0,-1.7,2.68,-1.034,
http://dl-learner.org/mutagenesis#d101,2.0,0.78,6.26,-1.598,
http://dl-learner.org/mutagenesis#d102,2.0,2.93,2.4,-3.172,
http://dl-learner.org/mutagenesis#d103,2.0,3.35,4.69,-1.487,
http://dl-learner.org/mutagenesis#d104,2.0,0.7,6.26,-1.546,
http://dl-learner.org/mutagenesis#d105,2.0,0.59,1.84,-1.749,
http://dl-learner.org/mutagenesis#d106,2.0,1.89,4.34,-1.607,
http://dl-learner.org/mutagenesis#d107,2.0,3.44,4.18,-2.791,
http://dl-learner.org/mutagenesis#d108,2.0,3.67,4.69,-1.676,
http://dl-learner.org/mutagenesis#d109,2.0,3.6,6.07,-2.284,
http://dl-learner.org/mutagenesis#d11,2.0,2.25,4.23,-1.254,
http://dl-learner.org/mutagenesis#d110,2.0,-0.07,3.0,-2.14,
http://dl-learner.org/mutagenesis#d111,2.0,-1.64,1.56,-1.687,
http://dl-learner.org/mutagenesis#d112,2.0,1.0,3.81,-1.208,
http://dl-learner.org/mutagenesis#d113,2.0,-1.74,1.84,-1.491,
http://dl-learner.org/mutagenesis#d114,2.0,-1.7,2.68,-1.148,
http://dl-learner.org/mutagenesis#d115,2.0,0.08,2.74,-1.161,
http://dl-learner.org/mutagenesis#d116,2.0,-0.23,1.8,-1.37,
http://dl-learner.org/mutagenesis#d117,2.0,0.03,3.26,-2.142,
http://dl-learner.org/mutagenesis#d118,2.0,0.3,6.57,-1.8,
http://dl-learner.org/mutagenesis#d119,2.0,-0.19,3.26,-1.995,
http://dl-learner.org/mutagenesis#d12,2.0,2.43,3.63,-1.627,
http://dl-learner.org/mutagenesis#d120,2.0,-0.82,1.77,-0.937,
http://dl-learner.org/mutagenesis#d121,2.0,3.16,4.18,-2.68,
http://dl-learner.org/mutagenesis#d122,2.0,1.75,5.41,-1.61,
http://dl-learner.org/mutagenesis#d123,2.0,-0.84,4.49,-1.056,
http://dl-learner.org/mutagenesis#d124,2.0,-1.66,1.89,-1.596,
http://dl-learner.org/mutagenesis#d125,2.0,3.27,4.99,-1.256,
http://dl-learner.org/mutagenesis#d126,2.0,2.02,2.29,-2.718,
http://dl-learner.org/mutagenesis#d127,2.0,1.92,3.26,-2.196,
http://dl-learner.org/mutagenesis#d128,2.0,1.91,3.36,-2.149,
http://dl-learner.org/mutagenesis#d129,2.0,-0.07,1.46,-1.592,
http://dl-learner.org/mutagenesis#d13,2.0,3.78,4.44,-2.292,
http://dl-learner.org/mutagenesis#d130,2.0,-2.7,1.73,-0.93,
http://dl-learner.org/mutagenesis#d131,2.0,-1.15,2.83,-1.538,
http://dl-learner.org/mutagenesis#d132,2.0,-1.92,1.74,-1.499,
http://dl-learner.org/mutagenesis#d133,2.0,-1.4,7.13,-1.492,
