,dribble_efficiency,minutes_played,shot_efficiency,tackle_efficiency,total_fouls_won
http://dl-learner.org/res/action1008910930,0.333333,90.0,0.0,-1.0,1.0
http://dl-learner.org/res/action1008911230,-1.0,90.0,0.0,1.0,0.0
http://dl-learner.org/res/action1008911430,1.0,90.0,0.0,-1.0,0.0
http://dl-learner.org/res/action1008911530,-1.0,90.0,1.0,0.0,0.0
http://dl-learner.org/res/action1008911630,0.5,90.0,0.5,0.0,1.0
http://dl-learner.org/res/action1008911730,-1.0,90.0,-1.0,-1.0,1.0
http://dl-learner.org/res/action1008911930,0.333333,90.0,0.0,-1.0,0.0
http://dl-learner.org/res/action1008912030,0.333333,88.0,-1.0,1.0,0.0
http://dl-learner.org/res/action1008912130,0.0,90.0,0.5,-1.0,0.0
http://dl-learner.org/res/action1008912230,1.0,90.0,0.5,-1.0,1.0
http://dl-learner.org/res/action1008912330,0.0,90.0,1.0,-1.0,0.0
http://dl-learner.org/res/action1008912430,0.0,90.0,0.333333,1.0,0.0
http://dl-learner.org/res/action1008912530,0.0,90.0,0.0,-1.0,1.0
http://dl-learner.org/res/action1008912630,0.0,71.0,-1.0,-1.0,1.0
http://dl-learner.org/res/action1008912830,-1.0,90.0,0.0,-1.0,0.0
http://dl-learner.org/res/action1008912930,0.0,65.0,1.0,1.0,0.0
http://dl-learner.org/res/action1008913030,1.0,90.0,-1.0,0.0,0.0
http://dl-learner.org/res/action1008913130,0.0,52.0,0.0,-1.0,0.0
http://dl-learner.org/res/action1008913230,-1.0,90.0,1.0,-1.0,0.0
http://dl-learner.org/res/action1008913430,-1.0,90.0,0.5,-1.0,2.0
http://dl-learner.org/res/action1008913530,0.0,20.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action1008913630,-1.0,82.0,1.0,0.0,1.0
http://dl-learner.org/res/action1008913730,0.666667,88.0,1.0,-1.0,0.0
http://dl-learner.org/res/action1008913830,0.333333,45.0,-1.0,-1.0,1.0
http://dl-learner.org/res/action1008913930,-1.0,90.0,0.5,-1.0,1.0
http://dl-learner.org/res/action1008914030,0.0,90.0,0.6,-1.0,2.0
http://dl-learner.org/res/action100894230,-1.0,90.0,1.0,0.0,1.0
http://dl-learner.org/res/action10089530,1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action10089630,0.5,81.0,-1.0,1.0,0.0
http://dl-learner.org/res/action100897530,0.333333,90.0,-1.0,1.0,2.0
http://dl-learner.org/res/action100897630,1.0,90.0,0.5,-1.0,1.0
http://dl-learner.org/res/action1039031055,-1.0,45.0,-1.0,1.0,0.0
http://dl-learner.org/res/action103903785,0.0,90.0,-1.0,0.666667,2.0
http://dl-learner.org/res/action103903835,-1.0,90.0,-1.0,1.0,0.0
http://dl-learner.org/res/action103903875,1.0,90.0,-1.0,0.5,0.0
http://dl-learner.org/res/action103903945,0.5,40.0,-1.0,1.0,0.0
http://dl-learner.org/res/action103903965,0.0,71.0,-1.0,0.75,0.0
http://dl-learner.org/res/action103903975,-1.0,45.0,-1.0,1.0,0.0
http://dl-learner.org/res/action10395514614,-1.0,6.0,0.0,-1.0,0.0
http://dl-learner.org/res/action10395520014,0.0,14.0,-1.0,-1.0,1.0
http://dl-learner.org/res/action10395524614,1.0,5.0,0.0,-1.0,1.0
http://dl-learner.org/res/action104251418,0.5,25.0,-1.0,-1.0,1.0
http://dl-learner.org/res/action104251428,-1.0,21.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action104251438,0.75,28.0,1.0,1.0,0.0
http://dl-learner.org/res/action104251458,0.5,90.0,0.0,1.0,2.0
http://dl-learner.org/res/action104251468,0.0,90.0,-1.0,0.0,0.0
http://dl-learner.org/res/action104251478,-1.0,6.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action104251508,0.5,90.0,0.0,-1.0,2.0
http://dl-learner.org/res/action104251528,1.0,61.0,0.0,1.0,0.0
http://dl-learner.org/res/action104251538,0.25,68.0,1.0,-1.0,1.0
