,label,goalkeeper_has_cleansheets,played_since_start,shot_first_goal_in_match,shot_winning_goal_in_match,team_clean_sheet,was_substituted_off,was_substituted_on
http://dl-learner.org/res/action1008910930,2,0,1,0,0,0,0,0
http://dl-learner.org/res/action1008911230,2,0,1,0,0,0,0,0
http://dl-learner.org/res/action1008911430,2,0,1,0,0,0,0,0
http://dl-learner.org/res/action1008911530,2,0,1,0,0,0,0,0
http://dl-learner.org/res/action1008911630,2,0,1,0,0,0,0,0
http://dl-learner.org/res/action1008911730,2,0,1,0,0,0,0,0
http://dl-learner.org/res/action1008911930,2,0,1,0,0,0,0,0
http://dl-learner.org/res/action1008912030,2,0,1,0,0,0,1,0
http://dl-learner.org/res/action1008912130,2,0,1,0,0,0,0,0
http://dl-learner.org/res/action1008912230,2,0,1,0,0,0,0,0
http://dl-learner.org/res/action1008912330,2,0,1,0,0,0,0,0
http://dl-learner.org/res/action1008912430,2,0,1,0,0,0,0,0
http://dl-learner.org/res/action1008912530,2,0,1,0,0,0,0,0
http://dl-learner.org/res/action1008912630,2,0,1,0,0,0,1,0
http://dl-learner.org/res/action1008912830,2,0,1,0,0,0,0,0
http://dl-learner.org/res/action1008912930,2,0,1,0,0,0,1,0
http://dl-learner.org/res/action1008913030,2,0,1,0,0,0,0,0
http://dl-learner.org/res/action1008913130,2,0,1,0,0,0,1,0
http://dl-learner.org/res/action1008913230,2,0,1,0,0,0,0,0
http://dl-learner.org/res/action1008913430,2,0,1,0,0,0,0,0
http://dl-learner.org/res/action1008913530,2,0,0,0,0,0,0,1
http://dl-learner.org/res/action1008913630,2,0,1,1,0,0,1,0
http://dl-learner.org/res/action1008913730,2,0,1,0,0,0,1,0
http://dl-learner.org/res/action1008913830,2,0,1,0,0,0,1,0
http://dl-learner.org/res/action1008913930,2,0,1,0,0,0,0,0
http://dl-learner.org/res/action1008914030,2,0,1,0,0,0,0,0
http://dl-learner.org/res/action100894230,2,0,1,0,0,0,0,0
http://dl-learner.org/res/action10089530,2,0,1,0,0,0,0,0
http://dl-learner.org/res/action10089630,2,0,1,0,0,0,1,0
http://dl-learner.org/res/action100897530,2,0,1,0,0,0,0,0
http://dl-learner.org/res/action100897630,2,0,1,0,0,0,0,0
http://dl-learner.org/res/action1039031055,2,0,0,0,0,0,0,1
http://dl-learner.org/res/action103903785,2,0,1,0,0,0,0,0
http://dl-learner.org/res/action103903835,2,0,1,0,0,0,0,0
http://dl-learner.org/res/action103903875,2,0,1,0,0,0,0,0
http://dl-learner.org/res/action103903945,2,0,0,0,0,0,0,1
http://dl-learner.org/res/action103903965,2,0,1,0,0,0,1,0
http://dl-learner.org/res/action103903975,2,0,0,0,0,0,0,1
http://dl-learner.org/res/action10395514614,2,0,0,0,0,0,0,1
http://dl-learner.org/res/action10395520014,2,0,0,0,0,0,0,1
http://dl-learner.org/res/action10395524614,2,0,0,0,0,0,0,1
http://dl-learner.org/res/action104251418,2,0,0,0,0,0,0,1
http://dl-learner.org/res/action104251428,2,0,0,0,0,0,0,1
http://dl-learner.org/res/action104251438,2,0,0,0,0,0,0,1
http://dl-learner.org/res/action104251458,2,0,1,0,0,0,0,0
http://dl-learner.org/res/action104251468,2,0,1,0,0,0,0,0
http://dl-learner.org/res/action104251478,2,0,0,0,0,0,0,1
http://dl-learner.org/res/action104251508,2,0,1,0,0,0,0,0
http://dl-learner.org/res/action104251528,2,0,1,0,0,0,1,0
http://dl-learner.org/res/action104251538,2,0,1,0,0,0,1,0
http://dl-learner.org/res/action104251548,2,0,0,0,0,0,0,1
http://dl-learner.org/res/action104251558,2,0,0,0,0,0,0,1
http://dl-learner.org/res/action104251568,2,0,0,0,0,0,0,1
http://dl-learner.org/res/action104251578,2,0,1,0,0,0,1,0
http://dl-learner.org/res/action104251598,2,0,0,0,0,0,0,1
http://dl-learner.org/res/action104251608,2,0,0,0,0,0,0,1
http://dl-learner.org/res/action104251618,2,0,0,0,0,0,0,1
http://dl-learner.org/res/action104251628,2,0,1,0,0,0,1,0
http://dl-learner.org/res/action104251658,2,0,0,0,1,0,0,1
http://dl-learner.org/res/action104251668,2,0,0,0,0,0,0,1
http://dl-learner.org/res/action104251678,2,0,0,0,0,0,0,1
http://dl-learner.org/res/action104251688,2,0,1,0,0,0,1,0
http://dl-learner.org/res/action10425448,2,0,0,0,0,0,0,1
http://dl-learner.org/res/action10425778,2,0,1,0,0,0,1,0
