,hasStructure_feature_name_http://dl-learner.org/mutagenesis#ring_size_6-1467,hasStructure_feature_name_http://dl-learner.org/mutagenesis#ring_size_6-1468,hasStructure_feature_name_http://dl-learner.org/mutagenesis#ring_size_6-1469,hasStructure_feature_name_http://dl-learner.org/mutagenesis#ring_size_6-1470,hasStructure_feature_name_http://dl-learner.org/mutagenesis#ring_size_6-1471
http://dl-learner.org/mutagenesis#d1,0,0,0,0,0
http://dl-learner.org/mutagenesis#d10,0,0,0,0,0
http://dl-learner.org/mutagenesis#d100,0,0,0,0,0
http://dl-learner.org/mutagenesis#d101,0,0,0,0,0
http://dl-learner.org/mutagenesis#d102,0,0,0,0,0
http://dl-learner.org/mutagenesis#d103,0,0,0,0,0
http://dl-learner.org/mutagenesis#d104,0,0,0,0,0
http://dl-learner.org/mutagenesis#d105,0,0,0,0,0
http://dl-learner.org/mutagenesis#d106,0,0,0,0,0
http://dl-learner.org/mutagenesis#d107,0,0,0,0,0
http://dl-learner.org/mutagenesis#d108,0,0,0,0,0
http://dl-learner.org/mutagenesis#d109,0,0,0,0,0
http://dl-learner.org/mutagenesis#d11,0,0,0,0,0
http://dl-learner.org/mutagenesis#d110,0,0,0,0,0
http://dl-learner.org/mutagenesis#d111,0,0,0,0,0
http://dl-learner.org/mutagenesis#d112,0,0,0,0,0
http://dl-learner.org/mutagenesis#d113,0,0,0,0,0
http://dl-learner.org/mutagenesis#d114,0,0,0,0,0
http://dl-learner.org/mutagenesis#d115,0,0,0,0,0
http://dl-learner.org/mutagenesis#d116,0,0,0,0,0
http://dl-learner.org/mutagenesis#d117,0,0,0,0,0
http://dl-learner.org/mutagenesis#d118,0,0,0,0,0
http://dl-learner.org/mutagenesis#d119,0,0,0,0,0
http://dl-learner.org/mutagenesis#d12,0,0,0,0,0
http://dl-learner.org/mutagenesis#d120,0,0,0,0,0
http://dl-learner.org/mutagenesis#d121,0,0,0,0,0
http://dl-learner.org/mutagenesis#d122,0,0,0,0,0
http://dl-learner.org/mutagenesis#d123,0,0,0,0,0
http://dl-learner.org/mutagenesis#d124,0,0,0,0,0
http://dl-learner.org/mutagenesis#d125,0,0,0,0,0
http://dl-learner.org/mutagenesis#d126,0,0,0,0,0
http://dl-learner.org/mutagenesis#d127,0,0,0,0,0
http://dl-learner.org/mutagenesis#d128,0,0,0,0,0
http://dl-learner.org/mutagenesis#d129,0,0,0,0,0
http://dl-learner.org/mutagenesis#d13,0,0,0,0,0
http://dl-learner.org/mutagenesis#d130,0,0,0,0,0
http://dl-learner.org/mutagenesis#d131,0,0,0,0,0
http://dl-learner.org/mutagenesis#d132,0,0,0,0,0
http://dl-learner.org/mutagenesis#d133,0,0,0,0,0
http://dl-learner.org/mutagenesis#d134,0,0,0,0,0
http://dl-learner.org/mutagenesis#d135,0,0,0,0,0
http://dl-learner.org/mutagenesis#d136,0,0,0,0,0
http://dl-learner.org/mutagenesis#d137,0,0,0,0,0
http://dl-learner.org/mutagenesis#d138,0,0,0,0,0
http://dl-learner.org/mutagenesis#d139,0,0,0,0,0
http://dl-learner.org/mutagenesis#d14,0,0,0,0,0
http://dl-learner.org/mutagenesis#d140,0,0,0,0,0
http://dl-learner.org/mutagenesis#d141,0,0,0,0,0
http://dl-learner.org/mutagenesis#d142,0,0,0,0,0
http://dl-learner.org/mutagenesis#d143,0,0,0,0,0
http://dl-learner.org/mutagenesis#d144,0,0,0,0,0
http://dl-learner.org/mutagenesis#d145,0,0,0,0,0
http://dl-learner.org/mutagenesis#d146,0,0,0,0,0
http://dl-learner.org/mutagenesis#d147,0,0,0,0,0
http://dl-learner.org/mutagenesis#d148,0,0,0,0,0
http://dl-learner.org/mutagenesis#d149,0,0,0,0,0
http://dl-learner.org/mutagenesis#d15,0,0,0,0,0
http://dl-learner.org/mutagenesis#d150,0,0,0,0,0
http://dl-learner.org/mutagenesis#d151,0,0,0,0,0
http://dl-learner.org/mutagenesis#d152,0,0,0,0,0
http://dl-learner.org/mutagenesis#d153,0,0,0,0,0
http://dl-learner.org/mutagenesis#d154,0,0,0,0,0
http://dl-learner.org/mutagenesis#d155,0,0,0,0,0
http://dl-learner.org/mutagenesis#d156,0,0,0,0,0
http://dl-learner.org/mutagenesis#d157,0,0,0,0,0
http://dl-learner.org/mutagenesis#d158,0,0,0,0,0
http://dl-learner.org/mutagenesis#d159,0,0,0,0,0
http://dl-learner.org/mutagenesis#d16,0,0,0,0,0
http://dl-learner.org/mutagenesis#d160,0,0,0,0,0
http://dl-learner.org/mutagenesis#d161,0,0,0,0,0
http://dl-learner.org/mutagenesis#d162,0,0,0,0,0
http://dl-learner.org/mutagenesis#d163,0,0,0,0,0
http://dl-learner.org/mutagenesis#d164,0,0,0,0,0
http://dl-learner.org/mutagenesis#d165,0,0,0,0,0
http://dl-learner.org/mutagenesis#d166,0,0,0,0,0
http://dl-learner.org/mutagenesis#d167,0,0,0,0,0
http://dl-learner.org/mutagenesis#d168,0,0,0,0,0
http://dl-learner.org/mutagenesis#d169,0,0,0,0,0
http://dl-learner.org/mutagenesis#d17,0,0,0,0,0
http://dl-learner.org/mutagenesis#d170,0,0,0,0,0
http://dl-learner.org/mutagenesis#d171,0,0,0,0,0
http://dl-learner.org/mutagenesis#d172,0,0,0,0,0
http://dl-learner.org/mutagenesis#d173,0,0,0,0,0
http://dl-learner.org/mutagenesis#d174,0,0,0,0,0
http://dl-learner.org/mutagenesis#d175,0,0,0,0,0
http://dl-learner.org/mutagenesis#d176,0,0,0,0,0
http://dl-learner.org/mutagenesis#d177,0,0,0,0,0
http://dl-learner.org/mutagenesis#d178,0,0,0,0,0
http://dl-learner.org/mutagenesis#d179,0,0,0,0,0
http://dl-learner.org/mutagenesis#d18,0,0,0,0,0
http://dl-learner.org/mutagenesis#d180,0,0,0,0,0
http://dl-learner.org/mutagenesis#d181,0,0,0,0,0
http://dl-learner.org/mutagenesis#d182,0,0,0,0,0
