,label,has_action,match,player,team,scorer_away,scorer_home,team_away,team_away_formation,team_home,team_home_formation
http://dl-learner.org/res/player10089,2,"['http://dl-learner.org/res/action1008910930', 'http://dl-learner.org/res/action1008911230', 'http://dl-learner.org/res/action1008911430', 'http://dl-learner.org/res/action1008911530', 'http://dl-learner.org/res/action1008911630', 'http://dl-learner.org/res/action1008911730', 'http://dl-learner.org/res/action1008911930', 'http://dl-learner.org/res/action1008912030', 'http://dl-learner.org/res/action1008912130', 'http://dl-learner.org/res/action1008912230', 'http://dl-learner.org/res/action1008912330', 'http://dl-learner.org/res/action1008912430', 'http://dl-learner.org/res/action1008912530', 'http://dl-learner.org/res/action1008912630', 'http://dl-learner.org/res/action1008912830', 'http://dl-learner.org/res/action1008912930', 'http://dl-learner.org/res/action1008913030', 'http://dl-learner.org/res/action1008913130', 'http://dl-learner.org/res/action1008913230', 'http://dl-learner.org/res/action1008913430', 'http://dl-learner.org/res/action1008913530', 'http://dl-learner.org/res/action1008913630', 'http://dl-learner.org/res/action1008913730', 'http://dl-learner.org/res/action1008913830', 'http://dl-learner.org/res/action1008913930', 'http://dl-learner.org/res/action1008914030', 'http://dl-learner.org/res/action100894230', 'http://dl-learner.org/res/action10089530', 'http://dl-learner.org/res/action10089630', 'http://dl-learner.org/res/action100897530', 'http://dl-learner.org/res/action100897630']",,,,,,,,,
http://dl-learner.org/res/player103903,2,"['http://dl-learner.org/res/action1039031055', 'http://dl-learner.org/res/action103903785', 'http://dl-learner.org/res/action103903835', 'http://dl-learner.org/res/action103903875', 'http://dl-learner.org/res/action103903945', 'http://dl-learner.org/res/action103903965', 'http://dl-learner.org/res/action103903975']",,,,,,,,,
http://dl-learner.org/res/player103955,2,"['http://dl-learner.org/res/action10395514614', 'http://dl-learner.org/res/action10395520014', 'http://dl-learner.org/res/action10395524614']",,,,,,,,,
http://dl-learner.org/res/player10425,2,"['http://dl-learner.org/res/action104251418', 'http://dl-learner.org/res/action104251428', 'http://dl-learner.org/res/action104251438', 'http://dl-learner.org/res/action104251458', 'http://dl-learner.org/res/action104251468', 'http://dl-learner.org/res/action104251478', 'http://dl-learner.org/res/action104251508', 'http://dl-learner.org/res/action104251528', 'http://dl-learner.org/res/action104251538', 'http://dl-learner.org/res/action104251548', 'http://dl-learner.org/res/action104251558', 'http://dl-learner.org/res/action104251568', 'http://dl-learner.org/res/action104251578', 'http://dl-learner.org/res/action104251598', 'http://dl-learner.org/res/action104251608', 'http://dl-learner.org/res/action104251618', 'http://dl-learner.org/res/action104251628', 'http://dl-learner.org/res/action104251658', 'http://dl-learner.org/res/action104251668', 'http://dl-learner.org/res/action104251678', 'http://dl-learner.org/res/action104251688', 'http://dl-learner.org/res/action10425448', 'http://dl-learner.org/res/action10425778', 'http://dl-learner.org/res/action1042578', 'http://dl-learner.org/res/action10425788', 'http://dl-learner.org/res/action1042588']",,,,,,,,,
http://dl-learner.org/res/player10451,2,"['http://dl-learner.org/res/action10451537', 'http://dl-learner.org/res/action10451577', 'http://dl-learner.org/res/action10451657']",,,,,,,,,
http://dl-learner.org/res/player10454,2,"['http://dl-learner.org/res/action1045411354', 'http://dl-learner.org/res/action1045411454', 'http://dl-learner.org/res/action104541154', 'http://dl-learner.org/res/action1045414454', 'http://dl-learner.org/res/action1045417254', 'http://dl-learner.org/res/action1045419954', 'http://dl-learner.org/res/action1045420054', 'http://dl-learner.org/res/action1045420254', 'http://dl-learner.org/res/action1045420354', 'http://dl-learner.org/res/action1045420754', 'http://dl-learner.org/res/action1045420854', 'http://dl-learner.org/res/action1045420954', 'http://dl-learner.org/res/action1045421054', 'http://dl-learner.org/res/action1045421154', 'http://dl-learner.org/res/action1045421254', 'http://dl-learner.org/res/action1045421354', 'http://dl-learner.org/res/action1045421554', 'http://dl-learner.org/res/action1045421754', 'http://dl-learner.org/res/action1045421954', 'http://dl-learner.org/res/action1045422154', 'http://dl-learner.org/res/action1045422354', 'http://dl-learner.org/res/action104544754']",,,,,,,,,
http://dl-learner.org/res/player10466,2,"['http://dl-learner.org/res/action104661011', 'http://dl-learner.org/res/action1046611111', 'http://dl-learner.org/res/action1046611211', 'http://dl-learner.org/res/action1046614211', 'http://dl-learner.org/res/action1046617211', 'http://dl-learner.org/res/action1046617611', 'http://dl-learner.org/res/action1046617711', 'http://dl-learner.org/res/action1046617811', 'http://dl-learner.org/res/action1046617911', 'http://dl-learner.org/res/action1046618011', 'http://dl-learner.org/res/action1046618111', 'http://dl-learner.org/res/action1046618311', 'http://dl-learner.org/res/action1046618411', 'http://dl-learner.org/res/action1046618511', 'http://dl-learner.org/res/action1046618611', 'http://dl-learner.org/res/action1046618711', 'http://dl-learner.org/res/action1046618811', 'http://dl-learner.org/res/action1046618911', 'http://dl-learner.org/res/action1046619011', 'http://dl-learner.org/res/action1046619111', 'http://dl-learner.org/res/action1046619211', 'http://dl-learner.org/res/action1046619311', 'http://dl-learner.org/res/action1046619411', 'http://dl-learner.org/res/action1046619611', 'http://dl-learner.org/res/action1046619711', 'http://dl-learner.org/res/action1046619811', 'http://dl-learner.org/res/action104664611', 'http://dl-learner.org/res/action104667911', 'http://dl-learner.org/res/action104668011', 'http://dl-learner.org/res/action10466911']",,,,,,,,,
http://dl-learner.org/res/player105086,2,"['http://dl-learner.org/res/action10508611454', 'http://dl-learner.org/res/action1050861254', 'http://dl-learner.org/res/action10508614354', 'http://dl-learner.org/res/action10508614454', 'http://dl-learner.org/res/action10508617254', 'http://dl-learner.org/res/action10508620054', 'http://dl-learner.org/res/action10508620454', 'http://dl-learner.org/res/action10508620654', 'http://dl-learner.org/res/action10508620754', 'http://dl-learner.org/res/action10508621454', 'http://dl-learner.org/res/action10508621554', 'http://dl-learner.org/res/action10508621654', 'http://dl-learner.org/res/action10508621854', 'http://dl-learner.org/res/action10508622254', 'http://dl-learner.org/res/action10508622454', 'http://dl-learner.org/res/action1050868254']",,,,,,,,,
http://dl-learner.org/res/player105190,2,"['http://dl-learner.org/res/action10519016939', 'http://dl-learner.org/res/action10519017039', 'http://dl-learner.org/res/action10519019839', 'http://dl-learner.org/res/action10519036039', 'http://dl-learner.org/res/action1051903739', 'http://dl-learner.org/res/action10519038039']",,,,,,,,,
http://dl-learner.org/res/player105322,2,"['http://dl-learner.org/res/action10532212030', 'http://dl-learner.org/res/action10532212730', 'http://dl-learner.org/res/action10532213530']",,,,,,,,,
