,label,atom,has_bond,atom_symbol,has_binding_with,first_bound_atom,second_bound_atom
http://dl-learner.org/nctrer/1,1,"['http://dl-learner.org/nctrer/1/atom1', 'http://dl-learner.org/nctrer/1/atom10', 'http://dl-learner.org/nctrer/1/atom11', 'http://dl-learner.org/nctrer/1/atom12', 'http://dl-learner.org/nctrer/1/atom13', 'http://dl-learner.org/nctrer/1/atom14', 'http://dl-learner.org/nctrer/1/atom15', 'http://dl-learner.org/nctrer/1/atom16', 'http://dl-learner.org/nctrer/1/atom17', 'http://dl-learner.org/nctrer/1/atom18', 'http://dl-learner.org/nctrer/1/atom19', 'http://dl-learner.org/nctrer/1/atom2', 'http://dl-learner.org/nctrer/1/atom20', 'http://dl-learner.org/nctrer/1/atom3', 'http://dl-learner.org/nctrer/1/atom4', 'http://dl-learner.org/nctrer/1/atom5', 'http://dl-learner.org/nctrer/1/atom6', 'http://dl-learner.org/nctrer/1/atom7', 'http://dl-learner.org/nctrer/1/atom8', 'http://dl-learner.org/nctrer/1/atom9']","['http://dl-learner.org/nctrer/bond1', 'http://dl-learner.org/nctrer/bond10', 'http://dl-learner.org/nctrer/bond11', 'http://dl-learner.org/nctrer/bond12', 'http://dl-learner.org/nctrer/bond13', 'http://dl-learner.org/nctrer/bond14', 'http://dl-learner.org/nctrer/bond15', 'http://dl-learner.org/nctrer/bond16', 'http://dl-learner.org/nctrer/bond17', 'http://dl-learner.org/nctrer/bond18', 'http://dl-learner.org/nctrer/bond19', 'http://dl-learner.org/nctrer/bond2', 'http://dl-learner.org/nctrer/bond20', 'http://dl-learner.org/nctrer/bond21', 'http://dl-learner.org/nctrer/bond22', 'http://dl-learner.org/nctrer/bond3', 'http://dl-learner.org/nctrer/bond4', 'http://dl-learner.org/nctrer/bond5', 'http://dl-learner.org/nctrer/bond6', 'http://dl-learner.org/nctrer/bond7', 'http://dl-learner.org/nctrer/bond8', 'http://dl-learner.org/nctrer/bond9']",,,,
http://dl-learner.org/nctrer/10,1,"['http://dl-learner.org/nctrer/10/atom1', 'http://dl-learner.org/nctrer/10/atom10', 'http://dl-learner.org/nctrer/10/atom11', 'http://dl-learner.org/nctrer/10/atom12', 'http://dl-learner.org/nctrer/10/atom13', 'http://dl-learner.org/nctrer/10/atom14', 'http://dl-learner.org/nctrer/10/atom15', 'http://dl-learner.org/nctrer/10/atom16', 'http://dl-learner.org/nctrer/10/atom17', 'http://dl-learner.org/nctrer/10/atom18', 'http://dl-learner.org/nctrer/10/atom19', 'http://dl-learner.org/nctrer/10/atom2', 'http://dl-learner.org/nctrer/10/atom20', 'http://dl-learner.org/nctrer/10/atom21', 'http://dl-learner.org/nctrer/10/atom3', 'http://dl-learner.org/nctrer/10/atom4', 'http://dl-learner.org/nctrer/10/atom5', 'http://dl-learner.org/nctrer/10/atom6', 'http://dl-learner.org/nctrer/10/atom7', 'http://dl-learner.org/nctrer/10/atom8', 'http://dl-learner.org/nctrer/10/atom9']","['http://dl-learner.org/nctrer/bond196', 'http://dl-learner.org/nctrer/bond197', 'http://dl-learner.org/nctrer/bond198', 'http://dl-learner.org/nctrer/bond199', 'http://dl-learner.org/nctrer/bond200', 'http://dl-learner.org/nctrer/bond201', 'http://dl-learner.org/nctrer/bond202', 'http://dl-learner.org/nctrer/bond203', 'http://dl-learner.org/nctrer/bond204', 'http://dl-learner.org/nctrer/bond205', 'http://dl-learner.org/nctrer/bond206', 'http://dl-learner.org/nctrer/bond207', 'http://dl-learner.org/nctrer/bond208', 'http://dl-learner.org/nctrer/bond209', 'http://dl-learner.org/nctrer/bond210', 'http://dl-learner.org/nctrer/bond211', 'http://dl-learner.org/nctrer/bond212', 'http://dl-learner.org/nctrer/bond213', 'http://dl-learner.org/nctrer/bond214', 'http://dl-learner.org/nctrer/bond215', 'http://dl-learner.org/nctrer/bond216', 'http://dl-learner.org/nctrer/bond217', 'http://dl-learner.org/nctrer/bond218']",,,,
http://dl-learner.org/nctrer/100,1,"['http://dl-learner.org/nctrer/100/atom1', 'http://dl-learner.org/nctrer/100/atom10', 'http://dl-learner.org/nctrer/100/atom11', 'http://dl-learner.org/nctrer/100/atom12', 'http://dl-learner.org/nctrer/100/atom13', 'http://dl-learner.org/nctrer/100/atom14', 'http://dl-learner.org/nctrer/100/atom15', 'http://dl-learner.org/nctrer/100/atom16', 'http://dl-learner.org/nctrer/100/atom17', 'http://dl-learner.org/nctrer/100/atom18', 'http://dl-learner.org/nctrer/100/atom19', 'http://dl-learner.org/nctrer/100/atom2', 'http://dl-learner.org/nctrer/100/atom20', 'http://dl-learner.org/nctrer/100/atom21', 'http://dl-learner.org/nctrer/100/atom22', 'http://dl-learner.org/nctrer/100/atom23', 'http://dl-learner.org/nctrer/100/atom24', 'http://dl-learner.org/nctrer/100/atom3', 'http://dl-learner.org/nctrer/100/atom4', 'http://dl-learner.org/nctrer/100/atom5', 'http://dl-learner.org/nctrer/100/atom6', 'http://dl-learner.org/nctrer/100/atom7', 'http://dl-learner.org/nctrer/100/atom8', 'http://dl-learner.org/nctrer/100/atom9']","['http://dl-learner.org/nctrer/bond2238', 'http://dl-learner.org/nctrer/bond2239', 'http://dl-learner.org/nctrer/bond2240', 'http://dl-learner.org/nctrer/bond2241', 'http://dl-learner.org/nctrer/bond2242', 'http://dl-learner.org/nctrer/bond2243', 'http://dl-learner.org/nctrer/bond2244', 'http://dl-learner.org/nctrer/bond2245', 'http://dl-learner.org/nctrer/bond2246', 'http://dl-learner.org/nctrer/bond2247', 'http://dl-learner.org/nctrer/bond2248', 'http://dl-learner.org/nctrer/bond2249', 'http://dl-learner.org/nctrer/bond2250', 'http://dl-learner.org/nctrer/bond2251', 'http://dl-learner.org/nctrer/bond2252', 'http://dl-learner.org/nctrer/bond2253', 'http://dl-learner.org/nctrer/bond2254', 'http://dl-learner.org/nctrer/bond2255', 'http://dl-learner.org/nctrer/bond2256', 'http://dl-learner.org/nctrer/bond2257', 'http://dl-learner.org/nctrer/bond2258', 'http://dl-learner.org/nctrer/bond2259', 'http://dl-learner.org/nctrer/bond2260', 'http://dl-learner.org/nctrer/bond2261', 'http://dl-learner.org/nctrer/bond2262', 'http://dl-learner.org/nctrer/bond2263', 'http://dl-learner.org/nctrer/bond2264']",,,,
http://dl-learner.org/nctrer/101,1,"['http://dl-learner.org/nctrer/101/atom1', 'http://dl-learner.org/nctrer/101/atom10', 'http://dl-learner.org/nctrer/101/atom11', 'http://dl-learner.org/nctrer/101/atom12', 'http://dl-learner.org/nctrer/101/atom13', 'http://dl-learner.org/nctrer/101/atom14', 'http://dl-learner.org/nctrer/101/atom15', 'http://dl-learner.org/nctrer/101/atom16', 'http://dl-learner.org/nctrer/101/atom17', 'http://dl-learner.org/nctrer/101/atom18', 'http://dl-learner.org/nctrer/101/atom19', 'http://dl-learner.org/nctrer/101/atom2', 'http://dl-learner.org/nctrer/101/atom20', 'http://dl-learner.org/nctrer/101/atom21', 'http://dl-learner.org/nctrer/101/atom22', 'http://dl-learner.org/nctrer/101/atom23', 'http://dl-learner.org/nctrer/101/atom24', 'http://dl-learner.org/nctrer/101/atom25', 'http://dl-learner.org/nctrer/101/atom3', 'http://dl-learner.org/nctrer/101/atom4', 'http://dl-learner.org/nctrer/101/atom5', 'http://dl-learner.org/nctrer/101/atom6', 'http://dl-learner.org/nctrer/101/atom7', 'http://dl-learner.org/nctrer/101/atom8', 'http://dl-learner.org/nctrer/101/atom9']","['http://dl-learner.org/nctrer/bond2265', 'http://dl-learner.org/nctrer/bond2266', 'http://dl-learner.org/nctrer/bond2267', 'http://dl-learner.org/nctrer/bond2268', 'http://dl-learner.org/nctrer/bond2269', 'http://dl-learner.org/nctrer/bond2270', 'http://dl-learner.org/nctrer/bond2271', 'http://dl-learner.org/nctrer/bond2272', 'http://dl-learner.org/nctrer/bond2273', 'http://dl-learner.org/nctrer/bond2274', 'http://dl-learner.org/nctrer/bond2275', 'http://dl-learner.org/nctrer/bond2276', 'http://dl-learner.org/nctrer/bond2277', 'http://dl-learner.org/nctrer/bond2278', 'http://dl-learner.org/nctrer/bond2279', 'http://dl-learner.org/nctrer/bond2280', 'http://dl-learner.org/nctrer/bond2281', 'http://dl-learner.org/nctrer/bond2282', 'http://dl-learner.org/nctrer/bond2283', 'http://dl-learner.org/nctrer/bond2284', 'http://dl-learner.org/nctrer/bond2285', 'http://dl-learner.org/nctrer/bond2286', 'http://dl-learner.org/nctrer/bond2287', 'http://dl-learner.org/nctrer/bond2288', 'http://dl-learner.org/nctrer/bond2289', 'http://dl-learner.org/nctrer/bond2290', 'http://dl-learner.org/nctrer/bond2291', 'http://dl-learner.org/nctrer/bond2292']",,,,
http://dl-learner.org/nctrer/102,1,"['http://dl-learner.org/nctrer/102/atom1', 'http://dl-learner.org/nctrer/102/atom10', 'http://dl-learner.org/nctrer/102/atom11', 'http://dl-learner.org/nctrer/102/atom12', 'http://dl-learner.org/nctrer/102/atom13', 'http://dl-learner.org/nctrer/102/atom14', 'http://dl-learner.org/nctrer/102/atom15', 'http://dl-learner.org/nctrer/102/atom16', 'http://dl-learner.org/nctrer/102/atom17', 'http://dl-learner.org/nctrer/102/atom2', 'http://dl-learner.org/nctrer/102/atom3', 'http://dl-learner.org/nctrer/102/atom4', 'http://dl-learner.org/nctrer/102/atom5', 'http://dl-learner.org/nctrer/102/atom6', 'http://dl-learner.org/nctrer/102/atom7', 'http://dl-learner.org/nctrer/102/atom8', 'http://dl-learner.org/nctrer/102/atom9']","['http://dl-learner.org/nctrer/bond2293', 'http://dl-learner.org/nctrer/bond2294', 'http://dl-learner.org/nctrer/bond2295', 'http://dl-learner.org/nctrer/bond2296', 'http://dl-learner.org/nctrer/bond2297', 'http://dl-learner.org/nctrer/bond2298', 'http://dl-learner.org/nctrer/bond2299', 'http://dl-learner.org/nctrer/bond2300', 'http://dl-learner.org/nctrer/bond2301', 'http://dl-learner.org/nctrer/bond2302', 'http://dl-learner.org/nctrer/bond2303', 'http://dl-learner.org/nctrer/bond2304', 'http://dl-learner.org/nctrer/bond2305', 'http://dl-learner.org/nctrer/bond2306', 'http://dl-learner.org/nctrer/bond2307', 'http://dl-learner.org/nctrer/bond2308', 'http://dl-learner.org/nctrer/bond2309', 'http://dl-learner.org/nctrer/bond2310']",,,,
http://dl-learner.org/nctrer/103,0,"['http://dl-learner.org/nctrer/103/atom1', 'http://dl-learner.org/nctrer/103/atom10', 'http://dl-learner.org/nctrer/103/atom11', 'http://dl-learner.org/nctrer/103/atom12', 'http://dl-learner.org/nctrer/103/atom13', 'http://dl-learner.org/nctrer/103/atom14', 'http://dl-learner.org/nctrer/103/atom15', 'http://dl-learner.org/nctrer/103/atom16', 'http://dl-learner.org/nctrer/103/atom17', 'http://dl-learner.org/nctrer/103/atom18', 'http://dl-learner.org/nctrer/103/atom2', 'http://dl-learner.org/nctrer/103/atom3', 'http://dl-learner.org/nctrer/103/atom4', 'http://dl-learner.org/nctrer/103/atom5', 'http://dl-learner.org/nctrer/103/atom6', 'http://dl-learner.org/nctrer/103/atom7', 'http://dl-learner.org/nctrer/103/atom8', 'http://dl-learner.org/nctrer/103/atom9']","['http://dl-learner.org/nctrer/bond2311', 'http://dl-learner.org/nctrer/bond2312', 'http://dl-learner.org/nctrer/bond2313', 'http://dl-learner.org/nctrer/bond2314', 'http://dl-learner.org/nctrer/bond2315', 'http://dl-learner.org/nctrer/bond2316', 'http://dl-learner.org/nctrer/bond2317', 'http://dl-learner.org/nctrer/bond2318', 'http://dl-learner.org/nctrer/bond2319', 'http://dl-learner.org/nctrer/bond2320', 'http://dl-learner.org/nctrer/bond2321', 'http://dl-learner.org/nctrer/bond2322', 'http://dl-learner.org/nctrer/bond2323', 'http://dl-learner.org/nctrer/bond2324', 'http://dl-learner.org/nctrer/bond2325', 'http://dl-learner.org/nctrer/bond2326', 'http://dl-learner.org/nctrer/bond2327', 'http://dl-learner.org/nctrer/bond2328']",,,,
http://dl-learner.org/nctrer/104,0,"['http://dl-learner.org/nctrer/104/atom1', 'http://dl-learner.org/nctrer/104/atom10', 'http://dl-learner.org/nctrer/104/atom11', 'http://dl-learner.org/nctrer/104/atom12', 'http://dl-learner.org/nctrer/104/atom13', 'http://dl-learner.org/nctrer/104/atom14', 'http://dl-learner.org/nctrer/104/atom15', 'http://dl-learner.org/nctrer/104/atom16', 'http://dl-learner.org/nctrer/104/atom17', 'http://dl-learner.org/nctrer/104/atom18', 'http://dl-learner.org/nctrer/104/atom19', 'http://dl-learner.org/nctrer/104/atom2', 'http://dl-learner.org/nctrer/104/atom20', 'http://dl-learner.org/nctrer/104/atom21', 'http://dl-learner.org/nctrer/104/atom22', 'http://dl-learner.org/nctrer/104/atom23', 'http://dl-learner.org/nctrer/104/atom24', 'http://dl-learner.org/nctrer/104/atom25', 'http://dl-learner.org/nctrer/104/atom26', 'http://dl-learner.org/nctrer/104/atom27', 'http://dl-learner.org/nctrer/104/atom28', 'http://dl-learner.org/nctrer/104/atom29', 'http://dl-learner.org/nctrer/104/atom3', 'http://dl-learner.org/nctrer/104/atom30', 'http://dl-learner.org/nctrer/104/atom31', 'http://dl-learner.org/nctrer/104/atom4', 'http://dl-learner.org/nctrer/104/atom5', 'http://dl-learner.org/nctrer/104/atom6', 'http://dl-learner.org/nctrer/104/atom7', 'http://dl-learner.org/nctrer/104/atom8', 'http://dl-learner.org/nctrer/104/atom9']","['http://dl-learner.org/nctrer/bond2329', 'http://dl-learner.org/nctrer/bond2330', 'http://dl-learner.org/nctrer/bond2331', 'http://dl-learner.org/nctrer/bond2332', 'http://dl-learner.org/nctrer/bond2333', 'http://dl-learner.org/nctrer/bond2334', 'http://dl-learner.org/nctrer/bond2335', 'http://dl-learner.org/nctrer/bond2336', 'http://dl-learner.org/nctrer/bond2337', 'http://dl-learner.org/nctrer/bond2338', 'http://dl-learner.org/nctrer/bond2339', 'http://dl-learner.org/nctrer/bond2340', 'http://dl-learner.org/nctrer/bond2341', 'http://dl-learner.org/nctrer/bond2342', 'http://dl-learner.org/nctrer/bond2343', 'http://dl-learner.org/nctrer/bond2344', 'http://dl-learner.org/nctrer/bond2345', 'http://dl-learner.org/nctrer/bond2346', 'http://dl-learner.org/nctrer/bond2347', 'http://dl-learner.org/nctrer/bond2348', 'http://dl-learner.org/nctrer/bond2349', 'http://dl-learner.org/nctrer/bond2350', 'http://dl-learner.org/nctrer/bond2351', 'http://dl-learner.org/nctrer/bond2352', 'http://dl-learner.org/nctrer/bond2353', 'http://dl-learner.org/nctrer/bond2354', 'http://dl-learner.org/nctrer/bond2355', 'http://dl-learner.org/nctrer/bond2356', 'http://dl-learner.org/nctrer/bond2357', 'http://dl-learner.org/nctrer/bond2358', 'http://dl-learner.org/nctrer/bond2359', 'http://dl-learner.org/nctrer/bond2360']",,,,
http://dl-learner.org/nctrer/105,0,"['http://dl-learner.org/nctrer/105/atom1', 'http://dl-learner.org/nctrer/105/atom10', 'http://dl-learner.org/nctrer/105/atom11', 'http://dl-learner.org/nctrer/105/atom12', 'http://dl-learner.org/nctrer/105/atom13', 'http://dl-learner.org/nctrer/105/atom14', 'http://dl-learner.org/nctrer/105/atom15', 'http://dl-learner.org/nctrer/105/atom16', 'http://dl-learner.org/nctrer/105/atom2', 'http://dl-learner.org/nctrer/105/atom3', 'http://dl-learner.org/nctrer/105/atom4', 'http://dl-learner.org/nctrer/105/atom5', 'http://dl-learner.org/nctrer/105/atom6', 'http://dl-learner.org/nctrer/105/atom7', 'http://dl-learner.org/nctrer/105/atom8', 'http://dl-learner.org/nctrer/105/atom9']","['http://dl-learner.org/nctrer/bond2361', 'http://dl-learner.org/nctrer/bond2362', 'http://dl-learner.org/nctrer/bond2363', 'http://dl-learner.org/nctrer/bond2364', 'http://dl-learner.org/nctrer/bond2365', 'http://dl-learner.org/nctrer/bond2366', 'http://dl-learner.org/nctrer/bond2367', 'http://dl-learner.org/nctrer/bond2368', 'http://dl-learner.org/nctrer/bond2369', 'http://dl-learner.org/nctrer/bond2370', 'http://dl-learner.org/nctrer/bond2371', 'http://dl-learner.org/nctrer/bond2372', 'http://dl-learner.org/nctrer/bond2373', 'http://dl-learner.org/nctrer/bond2374', 'http://dl-learner.org/nctrer/bond2375', 'http://dl-learner.org/nctrer/bond2376', 'http://dl-learner.org/nctrer/bond2377']",,,,
http://dl-learner.org/nctrer/106,0,"['http://dl-learner.org/nctrer/106/atom1', 'http://dl-learner.org/nctrer/106/atom10', 'http://dl-learner.org/nctrer/106/atom11', 'http://dl-learner.org/nctrer/106/atom12', 'http://dl-learner.org/nctrer/106/atom2', 'http://dl-learner.org/nctrer/106/atom3', 'http://dl-learner.org/nctrer/106/atom4', 'http://dl-learner.org/nctrer/106/atom5', 'http://dl-learner.org/nctrer/106/atom6', 'http://dl-learner.org/nctrer/106/atom7', 'http://dl-learner.org/nctrer/106/atom8', 'http://dl-learner.org/nctrer/106/atom9']","['http://dl-learner.org/nctrer/bond2378', 'http://dl-learner.org/nctrer/bond2379', 'http://dl-learner.org/nctrer/bond2380', 'http://dl-learner.org/nctrer/bond2381', 'http://dl-learner.org/nctrer/bond2382', 'http://dl-learner.org/nctrer/bond2383', 'http://dl-learner.org/nctrer/bond2384', 'http://dl-learner.org/nctrer/bond2385', 'http://dl-learner.org/nctrer/bond2386', 'http://dl-learner.org/nctrer/bond2387', 'http://dl-learner.org/nctrer/bond2388', 'http://dl-learner.org/nctrer/bond2389']",,,,
http://dl-learner.org/nctrer/107,0,"['http://dl-learner.org/nctrer/107/atom1', 'http://dl-learner.org/nctrer/107/atom10', 'http://dl-learner.org/nctrer/107/atom11', 'http://dl-learner.org/nctrer/107/atom12', 'http://dl-learner.org/nctrer/107/atom2', 'http://dl-learner.org/nctrer/107/atom3', 'http://dl-learner.org/nctrer/107/atom4', 'http://dl-learner.org/nctrer/107/atom5', 'http://dl-learner.org/nctrer/107/atom6', 'http://dl-learner.org/nctrer/107/atom7', 'http://dl-learner.org/nctrer/107/atom8', 'http://dl-learner.org/nctrer/107/atom9']","['http://dl-learner.org/nctrer/bond2390', 'http://dl-learner.org/nctrer/bond2391', 'http://dl-learner.org/nctrer/bond2392', 'http://dl-learner.org/nctrer/bond2393', 'http://dl-learner.org/nctrer/bond2394', 'http://dl-learner.org/nctrer/bond2395', 'http://dl-learner.org/nctrer/bond2396', 'http://dl-learner.org/nctrer/bond2397', 'http://dl-learner.org/nctrer/bond2398', 'http://dl-learner.org/nctrer/bond2399', 'http://dl-learner.org/nctrer/bond2400']",,,,
